term,tau,estimate,std.error,p.value,cohort_id,week,condition,module,indicator,lo,hi
z_cum_freq,0.1,1.3991944462677124,1.572700652939806,0.3743340985080923,STAT0004_2021,11,online,STAT0004,Frequency,-1.6832988334943073,4.481687726029732
z_cum_imm,0.1,0.588437856359282,1.8968588833733107,0.7566057525751311,STAT0004_2021,11,online,STAT0004,Immediacy,-3.129405555052407,4.306281267770971
z_cum_div,0.1,4.686174693524158,1.063321420300318,1.448317259766796e-5,STAT0004_2021,11,online,STAT0004,Diversity,2.602064709735535,6.770284677312782
z_cum_freq,0.25,0.17564135955569501,1.0412511445964876,0.8661567167226465,STAT0004_2021,11,online,STAT0004,Frequency,-1.8652108838534207,2.216493602964811
z_cum_imm,0.25,0.9520174368995306,1.2100742565199607,0.4320372563191772,STAT0004_2021,11,online,STAT0004,Immediacy,-1.4197281058795923,3.323762979678653
z_cum_div,0.25,3.1644162439177475,1.1230570004346596,0.005149889907535954,STAT0004_2021,11,online,STAT0004,Diversity,0.9632245230658145,5.36560796476968
z_cum_freq,0.5,-0.8008214052020408,1.2569445576796336,0.5245215702566701,STAT0004_2021,11,online,STAT0004,Frequency,-3.2644327382541225,1.6627899278500409
z_cum_imm,0.5,1.0106995701896806,1.5296221278374142,0.5092658193760933,STAT0004_2021,11,online,STAT0004,Immediacy,-1.9873598003716513,4.0087589407510125
z_cum_div,0.5,2.961999483249455,1.1843742939135324,0.012907036829885143,STAT0004_2021,11,online,STAT0004,Diversity,0.6406258671789318,5.283373099319979
z_cum_freq,0.75,-1.366313344464008,1.2547847593248032,0.27705689663739164,STAT0004_2021,11,online,STAT0004,Frequency,-3.8256914727406226,1.0930647838126062
z_cum_imm,0.75,2.4457064935527995,1.4536826828132026,0.09350064250420065,STAT0004_2021,11,online,STAT0004,Immediacy,-0.4035115647610774,5.294924551866677
z_cum_div,0.75,2.3115276498245305,1.5675755587801516,0.14134482361032563,STAT0004_2021,11,online,STAT0004,Diversity,-0.7609204453845666,5.383975745033627
z_cum_freq,0.9,-1.8300215230558976,1.2692275991772641,0.15036387434883247,STAT0004_2021,11,online,STAT0004,Frequency,-4.317707617443335,0.6576645713315399
z_cum_imm,0.9,1.315044900964014,2.0623960033436286,0.5241884929358305,STAT0004_2021,11,online,STAT0004,Immediacy,-2.727251265589498,5.357341067517526
z_cum_div,0.9,2.4771954470950046,1.6406335494938227,0.1320936766041534,STAT0004_2021,11,online,STAT0004,Diversity,-0.738446309912888,5.692837204102897
z_cum_freq,0.1,-0.845572927211729,1.542140922106066,0.5842061993047354,STAT0004_2122,6,hybrid,STAT0004,Frequency,-3.868169134539618,2.17702328011616
z_cum_imm,0.1,-1.241036358692111,2.6514636821405895,0.6403504180732393,STAT0004_2122,6,hybrid,STAT0004,Immediacy,-6.437905175687666,3.955832458303444
z_cum_div,0.1,5.313456623882566,1.6560646757505508,0.0015982651962471728,STAT0004_2122,6,hybrid,STAT0004,Diversity,2.067569859411486,8.5593433883536445
z_cum_freq,0.25,-1.2203459697868615,1.5680578831649215,0.4375144957580468,STAT0004_2122,6,hybrid,STAT0004,Frequency,-4.293739420790107,1.8530474812163846
z_cum_imm,0.25,0.46325111341394526,1.3203896632359038,0.7261447567705182,STAT0004_2122,6,hybrid,STAT0004,Immediacy,-2.1247126265284257,3.0512148533563166
z_cum_div,0.25,3.9382707760075246,1.2368923265936613,0.001731257251778917,STAT0004_2122,6,hybrid,STAT0004,Diversity,1.5139618158839485,6.362579736131101
z_cum_freq,0.5,1.1605117766124473,1.5415874502675257,0.45262182308012733,STAT0004_2122,6,hybrid,STAT0004,Frequency,-1.8609996259119033,4.182023179136798
z_cum_imm,0.5,-0.4417349179662935,1.2536210067628397,0.725004547271124,STAT0004_2122,6,hybrid,STAT0004,Immediacy,-2.8988320912214594,2.0153622552888724
z_cum_div,0.5,2.0150611553769586,1.2109347318782768,0.09796569782349751,STAT0004_2122,6,hybrid,STAT0004,Diversity,-0.35837091910446395,4.388493229858382
z_cum_freq,0.75,2.4790734751987102,1.9547117029795318,0.20646147927967284,STAT0004_2122,6,hybrid,STAT0004,Frequency,-1.3521614626411722,6.310308413038593
z_cum_imm,0.75,0.4006814861601744,1.1789131654580893,0.7343762475655877,STAT0004_2122,6,hybrid,STAT0004,Immediacy,-1.9099883181376804,2.7113512904580293
z_cum_div,0.75,-0.7644245407770032,1.159908310118027,0.51077316645292,STAT0004_2122,6,hybrid,STAT0004,Diversity,-3.037844828608336,1.5089957470543296
z_cum_freq,0.9,4.891589838048684,2.618788666651397,0.06352004083573481,STAT0004_2122,6,hybrid,STAT0004,Frequency,-0.24123594858805397,10.024415624685423
z_cum_imm,0.9,-1.4804079381163622,1.6811872352747583,0.37980698770249965,STAT0004_2122,6,hybrid,STAT0004,Immediacy,-4.775534919254889,1.814719043022164
z_cum_div,0.9,-1.4028121350095328,1.191040461707243,0.2405405306241093,STAT0004_2122,6,hybrid,STAT0004,Diversity,-3.737251439955729,0.9316271699366632
z_cum_freq,0.1,-1.6466874482702876,1.8011146168701067,0.3618904220192354,STAT0004_2122,11,hybrid,STAT0004,Frequency,-5.176872097335696,1.8834972007951216
z_cum_imm,0.1,0.9710497734266135,2.4500195881587925,0.6923544639007113,STAT0004_2122,11,hybrid,STAT0004,Immediacy,-3.8309886193646197,5.773088166217846
z_cum_div,0.1,4.663651902730078,1.6665434978721083,0.005736275278378944,STAT0004_2122,11,hybrid,STAT0004,Diversity,1.3972266469007457,7.93007715855941
z_cum_freq,0.25,-1.3121289830144771,1.714024731268177,0.4450330539743428,STAT0004_2122,11,hybrid,STAT0004,Frequency,-4.671617456300104,2.047359490271149
z_cum_imm,0.25,0.9812276984041581,1.345602316657305,0.4668881440098551,STAT0004_2122,11,hybrid,STAT0004,Immediacy,-1.6561528422441598,3.618608239052476
z_cum_div,0.25,3.247570258217806,1.5270419271807498,0.03490459112746502,STAT0004_2122,11,hybrid,STAT0004,Diversity,0.2545680809435362,6.2405724354920755
z_cum_freq,0.5,1.1761489014033777,1.5728713118776039,0.45564320707523764,STAT0004_2122,11,hybrid,STAT0004,Frequency,-1.9066788698767256,4.258976672683481
z_cum_imm,0.5,0.5360020531496925,1.5634949737860908,0.7321601837698779,STAT0004_2122,11,hybrid,STAT0004,Immediacy,-2.5284480954710453,3.6004522017704303
z_cum_div,0.5,1.449975620326292,1.1481755077149194,0.2083923783533872,STAT0004_2122,11,hybrid,STAT0004,Diversity,-0.80044837479495,3.700399615447534
z_cum_freq,0.75,1.7467561984205409,1.6750808292317085,0.29854417816668244,STAT0004_2122,11,hybrid,STAT0004,Frequency,-1.5364022268736077,5.0299146237146894
z_cum_imm,0.75,0.7764421934997535,1.0854552840135476,0.47540749409302774,STAT0004_2122,11,hybrid,STAT0004,Immediacy,-1.3510501631668,2.9039345501663067
z_cum_div,0.75,-0.28833842622928585,1.101257024035139,0.7937758388851526,STAT0004_2122,11,hybrid,STAT0004,Diversity,-2.446802193338158,1.8701253408795864
z_cum_freq,0.9,0.9308327309183166,3.167764203304539,0.7692388023354781,STAT0004_2122,11,hybrid,STAT0004,Frequency,-5.27798510755858,7.139650569395213
z_cum_imm,0.9,0.7940553398649334,2.7431008770444225,0.7725758955787498,STAT0004_2122,11,hybrid,STAT0004,Immediacy,-4.582422379142134,6.170533058872001
z_cum_div,0.9,-0.6319100138065142,1.2971174466837343,0.6267765567484873,STAT0004_2122,11,hybrid,STAT0004,Diversity,-3.174260209306633,1.910440181693605
z_cum_freq,0.1,4.2394919837165705,1.5122280148925724,0.005571907805564269,STAT0004_2223,6,in_person,STAT0004,Frequency,1.2755250745271285,7.203458892906013
z_cum_imm,0.1,-0.560678986050604,2.0572460548202134,0.7854992716586247,STAT0004_2223,6,in_person,STAT0004,Immediacy,-4.592881253498223,3.4715232813970145
z_cum_div,0.1,0.24683607235075877,2.527259806019533,0.922296131550937,STAT0004_2223,6,in_person,STAT0004,Diversity,-4.706593147447526,5.200265292149043
z_cum_freq,0.25,1.1003630890058875,1.6420636969686262,0.5035887446395639,STAT0004_2223,6,in_person,STAT0004,Frequency,-2.11808175705262,4.318807935064394
z_cum_imm,0.25,-0.15468606651961256,1.9858785360888775,0.9379938507577115,STAT0004_2223,6,in_person,STAT0004,Immediacy,-4.047007997253813,3.7376358642145875
z_cum_div,0.25,1.9993579891511895,2.27808754574777,0.3812262194048128,STAT0004_2223,6,in_person,STAT0004,Diversity,-2.46569360051444,6.464409578816818
z_cum_freq,0.5,-0.6238077968796334,1.5507159420896313,0.6879298788869068,STAT0004_2223,6,in_person,STAT0004,Frequency,-3.663211043375311,2.4155954496160437
z_cum_imm,0.5,0.04647629823263555,1.143992396005905,0.9676357292609685,STAT0004_2223,6,in_person,STAT0004,Immediacy,-2.195748797938938,2.2887013944042094
z_cum_div,0.5,1.7914466906664217,1.5792121802243946,0.2580368587173967,STAT0004_2223,6,in_person,STAT0004,Diversity,-1.3038091825733915,4.886702563906235
z_cum_freq,0.75,-0.3789484402940314,1.5171899016577677,0.8030309076186617,STAT0004_2223,6,in_person,STAT0004,Frequency,-3.352640647543256,2.5947437669551934
z_cum_imm,0.75,-1.1072946207425016,1.0780190367328795,0.30563222544786783,STAT0004_2223,6,in_person,STAT0004,Immediacy,-3.2202119327389456,1.005622691253942
