term,tau,estimate,std.error,p.value,cohort_id,week,predictor,condition,module,indicator,lo,hi
z_cum_freq,0.25,3.5711728377299212,0.8055288267246133,1.2895463962436793e-5,STAT0004_2021,11,z_cum_freq,online,STAT0004,Frequency,1.9923363373496792,5.150009338110163
z_cum_freq,0.5,2.4191977844006294,0.5547800108929488,1.7670295420657567e-5,STAT0004_2021,11,z_cum_freq,online,STAT0004,Frequency,1.3318289630504496,3.506566605750809
z_cum_freq,0.75,1.826527708016703,0.6882150127505139,0.008364512494274834,STAT0004_2021,11,z_cum_freq,online,STAT0004,Frequency,0.4776262830256959,3.17542913300771
z_cum_freq,0.9,1.1979896375796804,1.0003949151198097,0.23202006970816136,STAT0004_2021,11,z_cum_freq,online,STAT0004,Frequency,-0.7627843960551466,3.1587636712145075
z_cum_imm,0.1,5.653046243565152,1.7270377932320886,0.0011832496285406613,STAT0004_2021,11,z_cum_imm,online,STAT0004,Immediacy,2.268052168830258,9.038040318300045
z_cum_imm,0.25,3.6797612311286865,0.640295226818223,2.1724863241701087e-8,STAT0004_2021,11,z_cum_imm,online,STAT0004,Immediacy,2.4247825865649695,4.9347398756924035
z_cum_imm,0.5,3.088009861792996,0.998140290492827,0.0021563685342380623,STAT0004_2021,11,z_cum_imm,online,STAT0004,Immediacy,1.131654892427055,5.044364831158937
z_cum_imm,0.75,2.932717752474309,0.8287305488236798,4.6349148171143106e-4,STAT0004_2021,11,z_cum_imm,online,STAT0004,Immediacy,1.3084058767798965,4.5570296281687215
z_cum_imm,0.9,2.215237788823287,0.6658695264461183,9.840395013425152e-4,STAT0004_2021,11,z_cum_imm,online,STAT0004,Immediacy,0.9101335169888949,3.5203420606576787
z_cum_div,0.1,5.806979168777254,0.7764240135251561,7.751577157932843e-13,STAT0004_2021,11,z_cum_div,online,STAT0004,Diversity,4.285188102267948,7.32877023528656
z_cum_div,0.25,4.002491894668526,0.4895874221433296,7.549516567451064e-15,STAT0004_2021,11,z_cum_div,online,STAT0004,Diversity,3.0429005472676,4.962083242069452
z_cum_div,0.5,2.771167161571785,0.7230671041290683,1.535806153405428e-4,STAT0004_2021,11,z_cum_div,online,STAT0004,Diversity,1.3539556374788113,4.188378685664759
z_cum_div,0.75,2.5479256762743625,0.9315465803907232,0.006594036529760761,STAT0004_2021,11,z_cum_div,online,STAT0004,Diversity,0.722094378708545,4.37375697384018
z_cum_div,0.9,2.4476348025577694,0.6038071538227804,6.381819369249975e-5,STAT0004_2021,11,z_cum_div,online,STAT0004,Diversity,1.26417278106512,3.631096824050419
z_cum_freq,0.1,1.004806872083742,1.2990903443257893,0.44031872398870897,STAT0004_2122,6,z_cum_freq,hybrid,STAT0004,Frequency,-1.541410202794805,3.551023946962289
z_cum_freq,0.25,1.8764388630977842,1.1823570942046957,0.1143635829529086,STAT0004_2122,6,z_cum_freq,hybrid,STAT0004,Frequency,-0.4409810415434192,4.193858767738988
z_cum_freq,0.5,2.3754255788619694,0.7311881628584311,0.0013971153674754433,STAT0004_2122,6,z_cum_freq,hybrid,STAT0004,Frequency,0.9422967796594444,3.8085543780644944
